Year,Source,Course_Name,Round,Hole,Par,Yards,Eagles,Birdies,Pars,Bogeys,Double_Bogey_Plus
2018,ESPN,Riviera Country Club,Total,1,5,503,30,261,139,7,1
2018,ESPN,Riviera Country Club,Total,2,4,471,0,39,289,103,7
2018,ESPN,Riviera Country Club,Total,3,4,434,1,65,305,65,2
2018,ESPN,Riviera Country Club,Total,4,3,236,0,29,304,98,7
2018,ESPN,Riviera Country Club,Total,5,4,434,0,47,288,89,14
2018,ESPN,Riviera Country Club,Total,6,3,199,1,83,283,66,5
2018,ESPN,Riviera Country Club,Total,7,4,408,0,70,275,87,6
2018,ESPN,Riviera Country Club,Total,8,4,433,0,49,294,83,12
2018,ESPN,Riviera Country Club,Total,9,4,458,0,44,292,94,6
2018,ESPN,Riviera Country Club,Total,10,4,315,1,87,251,86,13
2018,ESPN,Riviera Country Club,Total,11,5,583,5,180,212,36,5
2018,ESPN,Riviera Country Club,Total,12,4,479,0,26,256,135,21
2018,ESPN,Riviera Country Club,Total,13,4,459,0,37,298,98,5
2018,ESPN,Riviera Country Club,Total,14,3,192,0,33,307,95,3
2018,ESPN,Riviera Country Club,Total,15,4,487,1,25,280,123,9
2018,ESPN,Riviera Country Club,Total,16,3,166,0,69,287,77,5
2018,ESPN,Riviera Country Club,Total,17,5,590,3,143,262,28,2
2018,ESPN,Riviera Country Club,Total,18,4,475,0,40,289,99,10
2021,ESPN,Riviera Country Club,Total,1,5,503,24,225,120,4,0
2021,ESPN,Riviera Country Club,Total,2,4,471,0,40,245,81,7
2021,ESPN,Riviera Country Club,Total,3,4,434,0,65,252,54,2
2021,ESPN,Riviera Country Club,Total,4,3,236,0,22,257,92,2
2021,ESPN,Riviera Country Club,Total,5,4,434,0,37,266,68,2
2021,ESPN,Riviera Country Club,Total,6,3,199,1,80,238,48,6
2021,ESPN,Riviera Country Club,Total,7,4,408,1,79,233,54,6
2021,ESPN,Riviera Country Club,Total,8,4,433,0,45,238,76,14
2021,ESPN,Riviera Country Club,Total,9,4,458,0,39,243,87,4
2021,ESPN,Riviera Country Club,Total,10,4,315,1,106,214,43,11
2021,ESPN,Riviera Country Club,Total,11,5,583,8,150,182,29,4
2021,ESPN,Riviera Country Club,Total,12,4,479,0,32,214,112,15
2021,ESPN,Riviera Country Club,Total,13,4,459,0,49,239,82,3
2021,ESPN,Riviera Country Club,Total,14,3,192,0,19,255,96,5
2021,ESPN,Riviera Country Club,Total,15,4,487,0,19,253,93,8
2021,ESPN,Riviera Country Club,Total,16,3,166,1,65,236,64,7
2021,ESPN,Riviera Country Club,Total,17,5,590,5,123,209,33,3
2021,ESPN,Riviera Country Club,Total,18,4,475,0,27,263,80,3
2022,ESPN,Riviera Country Club,Total,1,5,503,34,251,99,5,0
2022,ESPN,Riviera Country Club,Total,2,4,471,0,42,252,91,4
