Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2023,Augusta National Golf Club,4,1,4,4.11,0,6,35,12,0,-1,-1
2023,Augusta National Golf Club,4,2,5,4.51,2,28,19,2,2,-1,-1
2023,Augusta National Golf Club,4,3,4,4.0,0,8,38,6,1,-1,-1
2023,Augusta National Golf Club,4,4,3,3.17,0,6,33,13,1,-1,-1
2023,Augusta National Golf Club,4,5,4,4.21,0,7,29,16,1,-1,-1
2023,Augusta National Golf Club,4,6,3,3.25,0,5,33,12,3,-1,-1
2023,Augusta National Golf Club,4,7,4,4.02,0,13,27,12,1,-1,-1
2023,Augusta National Golf Club,4,8,5,4.72,0,20,29,3,1,-1,-1
2023,Augusta National Golf Club,4,9,4,4.19,0,6,32,14,1,-1,-1
2023,Augusta National Golf Club,4,10,4,4.11,0,4,40,8,1,-1,-1
2023,Augusta National Golf Club,4,11,4,4.26,0,3,38,8,4,-1,-1
2023,Augusta National Golf Club,4,12,3,3.34,0,2,35,13,3,-1,-1
2023,Augusta National Golf Club,4,13,5,4.85,2,18,24,6,3,-1,-1
2023,Augusta National Golf Club,4,14,4,4.15,0,5,35,13,0,-1,-1
2023,Augusta National Golf Club,4,15,5,4.55,1,28,20,2,2,-1,-1
2023,Augusta National Golf Club,4,16,3,3.04,0,9,33,11,0,-1,-1
2023,Augusta National Golf Club,4,17,4,4.26,0,6,28,18,1,-1,-1
2023,Augusta National Golf Club,4,18,4,4.26,0,6,29,16,2,-1,-1
2023,Augusta National Golf Club,3,1,4,4.21,0,4,35,13,1,-1,-1
2023,Augusta National Golf Club,3,2,5,4.64,0,24,25,3,1,-1,-1
2023,Augusta National Golf Club,3,3,4,3.83,0,14,35,3,1,-1,-1
2023,Augusta National Golf Club,3,4,3,3.26,0,4,31,18,0,-1,-1
2023,Augusta National Golf Club,3,5,4,4.38,0,3,28,21,1,-1,-1
2023,Augusta National Golf Club,3,6,3,3.08,0,5,39,9,0,-1,-1
2023,Augusta National Golf Club,3,7,4,4.21,0,4,35,13,1,-1,-1
2023,Augusta National Golf Club,3,8,5,4.72,0,20,28,5,0,-1,-1
2023,Augusta National Golf Club,3,9,4,4.19,0,5,33,15,0,-1,-1
2023,Augusta National Golf Club,3,10,4,4.11,0,4,39,10,0,-1,-1
2023,Augusta National Golf Club,3,11,4,4.26,0,1,39,12,1,-1,-1
2023,Augusta National Golf Club,3,12,3,3.0,0,13,29,9,2,-1,-1
2023,Augusta National Golf Club,3,13,5,4.7,0,20,29,4,0,-1,-1
2023,Augusta National Golf Club,3,14,4,4.42,0,4,25,22,2,-1,-1
2023,Augusta National Golf Club,3,15,5,4.7,0,21,29,2,1,-1,-1
2023,Augusta National Golf Club,3,16,3,3.06,0,7,37,8,1,-1,-1
2023,Augusta National Golf Club,3,17,4,4.34,0,2,34,14,3,-1,-1
2023,Augusta National Golf Club,3,18,4,4.34,0,2,35,13,3,-1,-1
2023,Augusta National Golf Club,2,1,4,4.18,0,5,64,13,4,-1,-1
2023,Augusta National Golf Club,2,2,5,4.74,1,35,35,15,0,-1,-1
2023,Augusta National Golf Club,2,3,4,4.18,0,9,53,22,2,-1,-1
2023,Augusta National Golf Club,2,4,3,3.25,0,4,58,23,1,-1,-1
2023,Augusta National Golf Club,2,5,4,4.34,0,1,59,22,4,-1,-1
2023,Augusta National Golf Club,2,6,3,3.16,0,12,53,16,5,-1,-1
2023,Augusta National Golf Club,2,7,4,4.32,0,4,55,23,4,-1,-1
2023,Augusta National Golf Club,2,8,5,4.49,3,42,37,4,0,-1,-1
2023,Augusta National Golf Club,2,9,4,3.96,0,17,55,13,1,-1,-1
2023,Augusta National Golf Club,2,10,4,4.12,0,7,63,15,1,-1,-1
2023,Augusta National Golf Club,2,11,4,4.2,0,7,57,19,3,-1,-1
2023,Augusta National Golf Club,2,12,3,2.96,0,17,56,12,1,-1,-1
2023,Augusta National Golf Club,2,13,5,4.71,3,34,37,9,3,-1,-1
2023,Augusta National Golf Club,2,14,4,4.15,0,10,55,19,2,-1,-1
2023,Augusta National Golf Club,2,15,5,4.74,0,36,40,7,3,-1,-1
2023,Augusta National Golf Club,2,16,3,2.98,0,12,66,7,1,-1,-1
