Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2023,Pebble Beach Golf Links,4,1,4,3.97,0,12,53,10,0,0.585584643166739,0.41441535683326103
2023,Pebble Beach Golf Links,4,2,5,4.43,6,37,26,6,0,0.6336641172599702,0.3663358827400298
2023,Pebble Beach Golf Links,4,3,4,4.04,0,11,51,12,1,0.6095329102543182,0.3904670897456818
2023,Pebble Beach Golf Links,4,4,4,3.67,0,29,43,2,1,0.44841787283622225,0.5515821271637777
2023,Pebble Beach Golf Links,4,5,3,2.89,0,19,46,9,1,0.5928477618950825,0.4071522381049175
2023,Pebble Beach Golf Links,4,6,5,4.47,4,35,34,1,1,0.450215438480229,0.549784561519771
2023,Pebble Beach Golf Links,4,7,3,2.83,0,15,58,2,0,0.5301018506649586,0.46989814933504137
2023,Pebble Beach Golf Links,4,8,4,4.28,0,6,44,23,2,0.5490588886888996,0.4509411113111004
2023,Pebble Beach Golf Links,4,9,4,4.32,0,4,50,14,7,0.6295841835629187,0.3704158164370813
2023,Pebble Beach Golf Links,4,10,4,3.87,0,14,57,4,0,0.5028499257425971,0.4971500742574029
2023,Pebble Beach Golf Links,4,11,4,3.81,0,21,47,7,0,0.48365594067218237,0.5163440593278177
2023,Pebble Beach Golf Links,4,12,3,3.16,0,7,50,17,1,0.45415024904127865,0.5458497509587213
2023,Pebble Beach Golf Links,4,13,4,4.09,0,7,55,12,1,0.4957983331992429,0.5042016668007572
2023,Pebble Beach Golf Links,4,14,5,5.07,0,12,51,8,4,0.5097037427130346,0.49029625728696535
2023,Pebble Beach Golf Links,4,15,4,3.77,0,22,48,5,0,0.37273770095443215,0.6272622990455679
2023,Pebble Beach Golf Links,4,16,4,4.13,0,5,57,11,2,0.5660145794634531,0.4339854205365469
2023,Pebble Beach Golf Links,4,17,3,3.11,0,6,56,12,1,0.5684813027923229,0.4315186972076771
2023,Pebble Beach Golf Links,4,18,5,4.95,0,23,38,10,4,0.43789456119296755,0.5621054388070325
2023,Pebble Beach Golf Links,3,1,4,4.08,0,5,36,7,1,0.5483767531516247,0.4516232468483753
2023,Pebble Beach Golf Links,3,2,5,4.41,3,25,19,2,0,0.3837733305542135,0.6162266694457865
2023,Pebble Beach Golf Links,3,3,4,4.08,0,8,30,10,1,0.5079758100285412,0.4920241899714588
2023,Pebble Beach Golf Links,3,4,4,4.1,0,10,29,6,4,0.6197823445269629,0.3802176554730371
2023,Pebble Beach Golf Links,3,5,3,3.35,0,4,27,15,3,0.6811571043078676,0.3188428956921324
2023,Pebble Beach Golf Links,3,6,5,4.76,1,17,25,5,1,0.5763209558599119,0.42367904414008806
2023,Pebble Beach Golf Links,3,7,3,3.1,0,5,35,8,1,0.5783338356906857,0.42166616430931425
2023,Pebble Beach Golf Links,3,8,4,4.2,0,8,26,12,3,0.5309963382653826,0.4690036617346174
2023,Pebble Beach Golf Links,3,9,4,4.33,0,4,27,16,2,0.48127789307361546,0.5187221069263845
