Year,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Wind_mph,Temp_F,Wind_Dir_Deg,Hole_Azimuth,Angle_Diff_Rad,Headwind_Comp,Crosswind_Comp,Total_Shots,Birdie_Better_Pct,Bogey_Worse_Pct,Hole_All_Time_Avg,Rel_Score,Course_Round_Avg_Rel,Normalized_Deviation
2023,1,1,4,3.98,0,7,39,6,0,12,52,300,65.95,4.084943114292728,-7.044948336686888,9.714355507876611,52,13.461538461538462,11.538461538461538,3.9435454545454545,-0.020000000000000018,-0.05722222222222231,0.009469696969697114
2023,1,2,5,4.42,4,24,22,2,0,12,52,300,100.86,3.4756486724215074,-11.336642888513179,3.9345302157085484,52,53.84615384615385,3.8461538461538463,4.367181818181819,-0.5800000000000001,-0.05722222222222231,0.025833333333332806
2023,1,3,4,3.88,0,9,40,3,0,12,52,300,236.83,1.1025244884848178,5.416138028453,10.708195406171164,52,17.307692307692307,5.769230769230769,3.9740909090909096,-0.1200000000000001,-0.05722222222222231,-0.12107575757575807
2023,1,4,4,3.88,0,15,29,7,1,12,52,300,115.76,3.215594613874353,-11.967157251384084,0.8872132329070214,52,28.846153846153843,15.384615384615385,3.8211818181818185,-0.1200000000000001,-0.05722222222222231,0.03183333333333303
2023,1,5,3,2.94,0,14,27,11,0,12,52,300,141.19,2.7717573850921946,-11.188642828909543,4.337542120497627,52,26.923076923076923,21.153846153846153,3.164,-0.06000000000000005,-0.05722222222222231,-0.2509848484848486
2023,1,6,5,4.48,2,30,16,3,1,12,52,300,203.78,1.6793558062689438,-1.3001564792513074,11.929358454227991,52,61.53846153846154,7.6923076923076925,4.590090909090909,-0.5199999999999996,-0.05722222222222231,-0.13707575757575718
2023,1,7,3,2.96,0,11,33,7,1,12,52,300,175.93,2.1654300029493645,-6.722464156254512,9.940245251897627,52,21.153846153846153,15.384615384615385,2.8819999999999997,-0.040000000000000036,-0.05722222222222231,0.05101515151515189
2023,1,8,4,4.33,0,5,32,11,4,12,52,300,58.7,4.211479485062317,-5.762681969318268,10.525753964467064,52,9.615384615384617,28.846153846153843,4.135454545454546,0.33000000000000007,-0.05722222222222231,0.16756060606060597
2023,1,9,4,4.31,0,8,25,14,5,12,52,300,134.73,2.884505654771029,-11.605617034102739,3.051172439857238,52,15.384615384615385,36.53846153846153,4.303272727272727,0.3099999999999996,-0.05722222222222231,-0.020257575757575932
2023,1,10,4,4.04,0,8,35,8,1,12,52,300,157.03,2.495297231576293,-9.579843491726457,7.226797262551804,52,15.384615384615385,17.307692307692307,4.058363636363636,0.040000000000000036,-0.05722222222222231,-0.04534848484848476
2023,1,11,4,3.75,1,16,30,5,0,12,52,300,23.85,4.8197267293823405,1.2855810517664763,11.930937991597265,52,32.69230769230769,9.615384615384617,3.826,-0.25,-0.05722222222222231,-0.10298484848484847
2023,1,12,3,3.17,0,5,33,14,0,12,52,300,287.27,0.22218041377887846,11.705031588282399,2.644283554634647,52,9.615384615384617,26.923076923076923,3.0925454545454545,0.16999999999999993,-0.05722222222222231,0.05046969696969704
2023,1,13,4,4.06,0,6,37,9,0,12,52,300,304.6,-0.08028514559173956,11.961346541474965,0.9623870919463118,52,11.538461538461538,17.307692307692307,4.0110909090909095,0.05999999999999961,-0.05722222222222231,0.02192424242424172
