Tournament,Course,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
The Sentry,"Kapalua, Plantation Course",276.13,216.5,97.54,145.42,178.86,1.62,307.29,343.87,73.65,91.11,338.23,257.88,86.05,148.57,166.2,157.54,324.48,319.78
Sony Open in Hawaii,Waialae Country Club,287.36,57.02,239.64,32.74,278.67,149.99,25.14,191.27,110.8,65.19,126.76,322.59,139.15,343.16,108.25,224.22,266.99,267.84
The American Express,"PGA West, TPC Stadium Course",27.41,26.46,268.56,24.44,87.71,37.84,212.59,195.32,210.96,331.05,2.65,39.53,95.75,83.92,265.03,202.38,166.78,159.26
Farmers Insurance Open,"Torrey Pines, South Course",241.59,174.68,202.73,353.27,171.26,37.08,196.59,70.09,175.79,179.39,249.18,293.13,112.79,336.18,348.58,228.64,40.64,350.89
AT&T Pebble Beach Pro-Am,Pebble Beach Golf Links,65.95,100.86,236.83,115.76,141.19,203.78,175.93,58.7,134.73,157.03,23.85,287.27,304.6,337.92,309.07,236.08,205.55,299.62
WM Phoenix Open,"TPC Scottsdale, Stadium Course",334.98,158.16,283.44,345.9,239.71,124.49,323.23,130.85,101.89,233.34,298.78,222.09,316.02,137.6,96.26,82.93,91.49,8.27
The Genesis Invitational,"Torrey Pines, South Course",241.59,174.68,202.73,353.27,171.26,37.08,196.59,70.09,175.79,179.39,249.18,293.13,112.79,336.18,348.58,228.64,40.64,350.89
Mexico Open,Vidanta Vallarta,343.31,51.5,156.89,159.62,0.62,339.98,152.82,168.46,223.19,250.47,37.78,345.21,213.51,168.24,345.45,271.66,236.25,120.0
Cognizant Classic,"PGA National, Champion Course",240.73,307.83,129.4,239.75,246.36,47.05,277.36,98.4,62.35,232.51,232.48,137.72,116.25,277.4,51.37,1.24,105.4,50.26
Arnold Palmer Invitational,Bay Hill Golf Club,4.35,11.87,34.64,319.46,133.29,221.75,325.87,158.71,192.91,55.57,77.24,307.01,137.31,267.0,203.3,184.98,3.2,4.57
Puerto Rico Open,Grand Reserve Golf Club,151.53,201.68,274.12,199.18,51.11,132.22,24.39,300.19,339.01,216.89,356.42,350.57,151.29,35.13,45.01,237.76,223.75,218.57
THE PLAYERS Championship,"TPC Sawgrass, Stadium Course",6.18,189.56,284.31,163.67,105.82,231.0,55.74,77.44,329.97,50.43,196.79,9.66,176.63,203.35,318.39,153.79,327.34,329.55
Valspar Championship,"Innisbrook, Copperhead Course",15.0,18.7,184.41,224.31,175.04,8.04,185.65,163.55,321.99,136.39,181.19,301.24,118.76,291.57,105.37,135.48,5.34,308.84
Texas Children's Houston Open,Memorial Park,210.66,180.2,339.47,165.93,310.51,135.75,70.56,19.58,14.89,303.7,157.66,332.08,205.31,181.21,153.87,354.86,179.84,69.89
Valero Texas Open,"TPC San Antonio, Oaks Course",178.15,187.16,215.45,204.75,323.99,33.79,88.06,8.17,354.92,167.99,169.81,12.04,196.69,210.12,355.85,344.67,192.33,23.63
RBC Heritage,Harbour Town Golf Links,122.65,156.04,219.54,187.11,63.98,336.76,238.47,349.76,323.6,188.11,164.92,230.46,244.7,27.47,45.16,334.38,246.36,16.65
Corales Puntacana Championship,"Puntacana, Corales Course",45.65,262.98,267.47,236.66,52.43,82.88,99.64,228.37,218.7,244.23,228.33,214.06,168.88,27.82,42.09,96.74,26.31,50.17
Zurich Classic of New Orleans,TPC Louisiana,213.98,228.9,210.66,268.99,16.96,156.34,42.57,32.84,57.47,287.94,200.02,172.61,9.98,352.15,17.16,195.98,144.54,29.29
