Course,Hole,Zone,Pin_Diff_Isolated,Birdie_Pct_Impact,Bogey_Pct_Impact,Sample_Size,Verdict
Pebble Beach,1,BL,0.041,-4.1%,+1.4%,5,Neutral
Pebble Beach,1,FR,-0.0,+2.2%,+1.1%,4,Neutral
Pebble Beach,1,MC,-0.102,+5.8%,-5.8%,2,Green Light
Pebble Beach,2,BL,-0.039,-2.2%,-0.1%,6,Neutral
Pebble Beach,2,FR,0.047,+2.7%,+0.2%,5,Neutral
Pebble Beach,3,BL,-0.161,+18.2%,-4.8%,2,Green Light
Pebble Beach,3,FR,0.056,-4.4%,-0.2%,6,Neutral
Pebble Beach,3,MC,-0.005,-3.4%,+3.6%,3,Neutral
Pebble Beach,4,BL,-0.091,+8.4%,-4.6%,5,Green Light
Pebble Beach,4,FR,0.076,-7.0%,+3.9%,6,Neutral
Pebble Beach,5,BL,0.016,-1.2%,+2.4%,3,Neutral
Pebble Beach,5,FR,0.005,+0.4%,+0.3%,7,Neutral
Pebble Beach,5,MC,-0.081,+0.4%,-9.0%,1,Neutral
Pebble Beach,6,BL,0.224,-8.4%,+5.4%,1,Hard
Pebble Beach,6,FR,-0.029,+0.4%,+0.3%,4,Neutral
Pebble Beach,6,MC,-0.018,+1.1%,-1.1%,6,Neutral
Pebble Beach,7,BL,-0.098,+9.9%,-0.6%,2,Green Light
Pebble Beach,7,FR,0.022,-2.2%,+0.1%,9,Neutral
Pebble Beach,8,BL,-0.049,+2.4%,-4.2%,5,Neutral
Pebble Beach,8,FR,0.158,-7.4%,+4.8%,2,Neutral
Pebble Beach,8,MC,-0.018,+0.8%,+2.8%,4,Neutral
Pebble Beach,9,BL,0.003,-0.2%,+3.4%,6,Neutral
Pebble Beach,9,FR,-0.004,+0.3%,-4.1%,5,Neutral
Pebble Beach,10,BL,0.044,-1.2%,-2.1%,5,Neutral
Pebble Beach,10,FR,0.008,+4.0%,+4.2%,2,Neutral
Pebble Beach,10,MC,-0.059,-0.5%,+0.5%,4,Neutral
Pebble Beach,11,BL,-0.061,+1.7%,+0.3%,5,Neutral
Pebble Beach,11,FR,0.04,+0.7%,+2.0%,3,Neutral
Pebble Beach,11,MC,0.063,-3.4%,-2.5%,3,Neutral
Pebble Beach,12,BL,-0.008,+0.5%,+1.3%,2,Neutral
Pebble Beach,12,FR,0.119,-4.3%,+2.4%,4,Neutral
Pebble Beach,12,MC,-0.092,+3.3%,-2.4%,5,Neutral
Pebble Beach,13,BL,0.029,+6.1%,+2.1%,2,Green Light
Pebble Beach,13,FR,-0.019,-0.9%,+1.2%,5,Neutral
Pebble Beach,13,MC,0.009,-2.0%,-2.5%,4,Neutral
Pebble Beach,14,BL,0.117,-3.8%,+3.6%,3,Neutral
Pebble Beach,14,FR,-0.067,+3.0%,-2.6%,3,Neutral
Pebble Beach,14,MC,-0.03,+0.5%,-0.6%,5,Neutral
Pebble Beach,15,BL,-0.017,+3.5%,-2.4%,4,Neutral
Pebble Beach,15,FR,0.028,-2.4%,-0.7%,4,Neutral
Pebble Beach,15,MC,-0.014,-1.5%,+4.1%,3,Neutral
Pebble Beach,16,BL,-0.187,+16.2%,-9.5%,2,Green Light
Pebble Beach,16,FR,0.057,-2.2%,+0.4%,5,Neutral
Pebble Beach,16,MC,0.023,-5.3%,+4.2%,4,Neutral
Pebble Beach,17,BL,-0.037,+1.5%,-1.0%,7,Neutral
Pebble Beach,17,FR,0.051,-2.1%,+2.0%,3,Neutral
Pebble Beach,17,MC,0.103,-4.2%,+0.7%,1,Neutral
Pebble Beach,18,BL,0.016,-0.9%,+0.6%,9,Neutral
Pebble Beach,18,FR,-0.071,+4.2%,-2.8%,2,Neutral
